iso_code,country,size,area,density_sq_km,density
GRL,Greenland,"56,877","2,166,086 sq_km",0/sq_km,0
FLK,Falkland Islands,"3,533","12,173 sq_km",0/sq_km,0
BGD,Bangladesh,"166,735,038","147,570 sq_km","1,127/sq_km","1,127"
BMU,Bermuda,"62,090",54 sq_km,"1,150/sq_km","1,150"
MAF,Sint Maarten,"43,412",34 sq_km,"1,277/sq_km","1,277"
MLT,Malta,"443,178",316 sq_km,"1,401/sq_km","1,401"
MDV,Maldives,"544,799",300 sq_km,"1,812/sq_km","1,812"
ARM,Armenia,"2,969,408","29,743 sq_km",100/sq_km,100
ALB,Albania,"2,871,455","28,748 sq_km",100/sq_km,100
CRI,Costa Rica,"5,151,072","51,100 sq_km",101/sq_km,101
CUB,Cuba,"11,315,239","109,884 sq_km",103/sq_km,103
SVN,Slovenia,"2,078,724","20,273 sq_km",103/sq_km,103
EGY,Egypt,"104,775,979","1,002,450 sq_km",104/sq_km,104
HUN,Hungary,"9,626,873","93,028 sq_km",104/sq_km,104
ETH,Ethiopia,"118,659,897","1,104,300 sq_km",107/sq_km,107
AUT,Austria,"9,053,317","83,871 sq_km",108/sq_km,108
TUR,Turkey,"85,244,813","783,562 sq_km",109/sq_km,109
BOL,Bolivia,"11,875,996","1,098,581 sq_km",11/sq_km,11
PRT,Portugal,"10,159,846","92,090 sq_km",110/sq_km,110
BEN,Benin,"12,539,516","112,622 sq_km",111/sq_km,111
SVK,Slovakia,"5,460,820","49,037 sq_km",111/sq_km,111
SLE,Sierra Leone,"8,185,581","71,740 sq_km",113/sq_km,113
TKL,Tokelau,"1,373",12 sq_km,114/sq_km,114
JOR,Jordan,"10,293,652","89,342 sq_km",115/sq_km,115
AZE,Azerbaijan,"10,246,003","86,600 sq_km",118/sq_km,118
FRA,France,"65,469,136","551,695 sq_km",119/sq_km,119
MDA,Moldova,"4,021,260","33,846 sq_km",119/sq_km,119
ARE,United Arab Emirates,"10,018,676","83,600 sq_km",120/sq_km,120
POL,Poland,"37,782,128","312,679 sq_km",121/sq_km,121
MNP,Northern Mariana Islands,"57,917",464 sq_km,125/sq_km,125
TCD,Chad,"17,047,009","1,284,000 sq_km",13/sq_km,13
TKM,Turkmenistan,"6,141,176","488,100 sq_km",13/sq_km,13
CYP,Cyprus,"1,217,850","9,251 sq_km",131/sq_km,131
GHA,Ghana,"31,909,770","238,533 sq_km",133/sq_km,133
DNK,Denmark,"5,819,012","43,094 sq_km",135/sq_km,135
THA,Thailand,"69,991,442","513,120 sq_km",136/sq_km,136
CZE,Czech Republic,"10,728,397","78,865 sq_km",136/sq_km,136
CPV,Cape Verde,"563,474","4,033 sq_km",139/sq_km,139
TON,Tonga,"107,056",747 sq_km,143/sq_km,143
IDN,Indonesia,"277,127,718","1,904,569 sq_km",145/sq_km,145
CHN,China,"1,445,518,610","9,706,961 sq_km",149/sq_km,149
TGO,Togo,"8,532,242","56,785 sq_km",149/sq_km,149
IMN,Isle Of Man,"85,410",572 sq_km,149/sq_km,149
KIR,Kiribati,"121,885",811 sq_km,150/sq_km,150
ARG,Argentina,"45,716,273","2,780,400 sq_km",16/sq_km,16
SAU,Saudi Arabia,"35,486,303","2,149,690 sq_km",16/sq_km,16
FIN,Finland,"5,550,528","338,424 sq_km",16/sq_km,16
NCL,New Caledonia,"288,908","18,575 sq_km",16/sq_km,16
AND,Andorra,"77,355",468 sq_km,165/sq_km,165
MWI,Malawi,"19,787,393","118,484 sq_km",166/sq_km,166
FSM,Micronesia,"116,550",702 sq_km,166/sq_km,166
AIA,Anguilla,"15,117",91 sq_km,166/sq_km,166
GTM,Guatemala,"18,339,715","108,889 sq_km",168/sq_km,168
MLI,Mali,"21,018,794","1,240,192 sq_km",17/sq_km,17
COG,Dem. Rep. Congo,"5,694,453","342,000 sq_km",17/sq_km,17
NOR,Norway,"5,477,946","323,802 sq_km",17/sq_km,17
OMN,Oman,"5,256,578","309,500 sq_km",17/sq_km,17
SSD,S. Sudan,"11,432,611","619,745 sq_km",18/sq_km,18
PRY,Paraguay,"7,242,988","406,752 sq_km",18/sq_km,18
NZL,New Zealand,"4,871,185","270,467 sq_km",18/sq_km,18
BLZ,Belize,"406,885","22,966 sq_km",18/sq_km,18
DZA,Algeria,"44,820,177","2,381,741 sq_km",19/sq_km,19
URY,Uruguay,"3,488,205","181,034 sq_km",19/sq_km,19
MCO,Monaco,"39,511",2 sq_km,"19,756/sq_km","19,756"
UGA,Uganda,"47,497,927","241,550 sq_km",195/sq_km,195
MNG,Mongolia,"3,342,984","1,564,110 sq_km",2/sq_km,2
ESH,Western Sahara,"615,717","266,000 sq_km",2/sq_km,2
BHR,Bahrain,"1,760,710",765 sq_km,"2,285/sq_km","2,285"
NER,Niger,"25,380,874","1,267,000 sq_km",20/sq_km,20
PNG,Papua New Guinea,"9,165,317","462,840 sq_km",20/sq_km,20
BTN,Bhutan,"782,164","38,394 sq_km",20/sq_km,20
ITA,Italy,"60,345,999","301,336 sq_km",200/sq_km,200
NPL,Nepal,"29,805,564","147,181 sq_km",202/sq_km,202
KNA,Saint Kitts And Nevis,"53,544",261 sq_km,205/sq_km,205
MAC,Macau,"660,956",30 sq_km,"21,946/sq_km","21,946"
CHE,Switzerland,"8,732,440","41,284 sq_km",211/sq_km,211
PRK,North Korea,"25,915,909","120,538 sq_km",215/sq_km,215
SYC,Seychelles,"99,007",452 sq_km,219/sq_km,219
ATG,Antigua And Barbuda,"98,928",442 sq_km,223/sq_km,223
DOM,Dominican Republic,"10,982,078","48,671 sq_km",225/sq_km,225
NGA,Nigeria,"212,821,048","923,768 sq_km",229/sq_km,229
SWE,Sweden,"10,176,623","450,295 sq_km",23/sq_km,23
STP,Sao Tome And Principe,"224,550",964 sq_km,232/sq_km,232
GMB,Gambia,"2,505,862","10,689 sq_km",233/sq_km,233
DEU,Germany,"83,934,858","357,114 sq_km",235/sq_km,235
LIE,Liechtenstein,"38,250",160 sq_km,239/sq_km,239
SDN,Sudan,"45,194,386","1,886,068 sq_km",24/sq_km,24
SLB,Solomon Islands,"708,627","28,896 sq_km",24/sq_km,24
SPM,Saint Pierre And Miquelon,"5,766",242 sq_km,24/sq_km,24
KWT,Kuwait,"4,345,989","17,818 sq_km",243/sq_km,243
LUX,Luxembourg,"637,277","2,586 sq_km",245/sq_km,245
BRA,Brazil,"214,377,193","8,515,767 sq_km",25/sq_km,25
CHL,Chile,"19,241,130","756,102 sq_km",25/sq_km,25
ZMB,Zambia,"19,065,779","752,612 sq_km",25/sq_km,25
CYM,Cayman Islands,"66,497",264 sq_km,252/sq_km,252
QAT,Qatar,"2,945,110","11,586 sq_km",253/sq_km,253
PAK,Pakistan,"226,354,160","881,912 sq_km",255/sq_km,255
PER,Peru,"33,463,461","1,285,216 sq_km",26/sq_km,26
