Country,year,Life Ladder
Afghanistan,2019,2.375
Albania,2019,4.995
Albania,2020,5.365
Algeria,2019,4.745
Argentina,2019,6.086
Argentina,2020,5.901
Armenia,2019,5.488
Australia,2019,7.234
Australia,2020,7.137
Austria,2019,7.195
Austria,2020,7.213
Azerbaijan,2019,5.173
Bahrain,2019,7.098
Bahrain,2020,6.173
Bangladesh,2019,5.114
Bangladesh,2020,5.28
Belarus,2019,5.821
Belgium,2019,6.772
Belgium,2020,6.839
Benin,2019,4.976
Benin,2020,4.408
Bolivia,2019,5.674
Bolivia,2020,5.559
Bosnia and Herzegovina,2019,6.016
Bosnia and Herzegovina,2020,5.516
Botswana,2019,3.471
Brazil,2019,6.451
Brazil,2020,6.11
Bulgaria,2019,5.108
Bulgaria,2020,5.598
Burkina Faso,2019,4.741
Cambodia,2019,4.998
Cambodia,2020,4.377
Cameroon,2019,4.937
Cameroon,2020,5.241
Canada,2019,7.109
Canada,2020,7.025
Chad,2019,4.251
Chile,2019,5.942
Chile,2020,6.151
China,2019,5.144
China,2020,5.771
Colombia,2019,6.35
Colombia,2020,5.709
Comoros,2019,4.609
Dem. Rep. Congo,2019,5.213
Costa Rica,2019,6.998
Croatia,2019,5.626
Croatia,2020,6.508
Cyprus,2019,6.137
Cyprus,2020,6.26
Czech Republic,2020,6.897
Denmark,2019,7.693
Denmark,2020,7.515
Dominican Republic,2019,6.004
Dominican Republic,2020,5.168
Ecuador,2019,5.809
Ecuador,2020,5.354
Egypt,2019,4.328
Egypt,2020,4.472
El Salvador,2019,6.455
El Salvador,2020,5.462
Estonia,2019,6.035
Estonia,2020,6.453
Ethiopia,2019,4.1
Ethiopia,2020,4.549
Finland,2019,7.78
Finland,2020,7.889
France,2019,6.69
France,2020,6.714
Gabon,2019,4.914
Gambia,2019,5.164
Georgia,2019,4.892
Georgia,2020,5.123
Germany,2019,7.035
Germany,2020,7.312
Ghana,2019,4.967
Ghana,2020,5.319
Greece,2019,5.952
Greece,2020,5.788
Guatemala,2019,6.262
Guinea,2019,4.768
Honduras,2019,5.93
Hong Kong S.A.R. of China,2019,5.659
Hong Kong S.A.R. of China,2020,5.295
Hungary,2019,6
Hungary,2020,6.038
Iceland,2019,7.533
Iceland,2020,7.575
India,2019,3.249
India,2020,4.225
Indonesia,2019,5.347
Iran,2019,5.006
Iran,2020,4.865
Iraq,2020,4.785
Ireland,2019,7.255
Ireland,2020,7.035
Israel,2019,7.332
Israel,2020,7.195
Italy,2019,6.445
Italy,2020,6.488
Ivory Coast,2019,5.392
Ivory Coast,2020,5.257
Jamaica,2019,6.309
Japan,2019,5.908
Japan,2020,6.118
Jordan,2019,4.453
Jordan,2020,4.094
Kazakhstan,2019,6.272
Kazakhstan,2020,6.168
Kenya,2019,4.619
Kenya,2020,4.547
Kosovo,2019,6.425
Kosovo,2020,6.294
Kuwait,2019,6.106
Kyrgyzstan,2019,5.685
Kyrgyzstan,2020,6.25
Laos,2019,5.197
Laos,2020,5.284
Latvia,2019,5.97
Latvia,2020,6.229
Lebanon,2019,4.024
Lesotho,2019,3.512
Liberia,2019,5.121
Libya,2019,5.33
Lithuania,2019,6.064
Lithuania,2020,6.391
Luxembourg,2019,7.404
Madagascar,2019,4.339
Malawi,2019,3.869
Malaysia,2019,5.428
Mali,2019,4.988
Malta,2019,6.733
Malta,2020,6.157
Mauritania,2019,4.153
Mauritius,2019,6.241
Mauritius,2020,6.015
Mexico,2019,6.432
Mexico,2020,5.964
Moldova,2019,5.803
Moldova,2020,5.812
Mongolia,2019,5.563
Mongolia,2020,6.011
Montenegro,2019,5.386
Montenegro,2020,5.722
Morocco,2019,5.057
Morocco,2020,4.803
Mozambique,2019,4.932
Myanmar,2019,4.434
Myanmar,2020,4.431
Namibia,2019,4.436
Namibia,2020,4.451
Nepal,2019,5.449
Netherlands,2019,7.425
Netherlands,2020,7.504
New Zealand,2019,7.205
New Zealand,2020,7.257
Nicaragua,2019,6.113
Niger,2019,5.004
Nigeria,2019,4.356
Nigeria,2020,5.503
North Cyprus,2019,5.467
North Macedonia,2019,5.015
North Macedonia,2020,5.054
Norway,2019,7.442
Norway,2020,7.29
Pakistan,2019,4.443
Palestinian Territories,2019,4.483
Panama,2019,6.086
Paraguay,2019,5.653
Peru,2019,5.999
Philippines,2019,6.268
Philippines,2020,5.08
Poland,2019,6.242
Poland,2020,6.139
Portugal,2019,6.095
Portugal,2020,5.768
Romania,2019,6.13
Russia,2019,5.441
Russia,2020,5.495
Rwanda,2019,3.268
Saudi Arabia,2019,6.561
Saudi Arabia,2020,6.56
Senegal,2019,5.489
